text,label,source_url
the Copa Martini & Rossi,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1953,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa del Generalísimo,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Helenio Herrera,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Luis Suárez,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the European Footballer,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1960,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Hungarians,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Kubala,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Sándor Kocsis,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Zoltán Czibor,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
1959,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Fairs Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
1960,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
1961,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Benfica,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
The 1960s,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
La Liga,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1957,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Josep Maria Fusté,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Carles Rexach,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the Copa del Generalísimo,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1963,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
the Fairs Cup,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
1966,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Real Madrid 1–0,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
1968,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Copa del Generalísimo,ORG,https://en.wikipedia.org/wiki/FC_Barcelona
Francisco Franco,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Salvador Artigas,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
republican,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
the Civil War,EVENT,https://en.wikipedia.org/wiki/FC_Barcelona
the end of,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Franco,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
1974,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Futbol Club Barcelona,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Johan Cruyff,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the 1973–74 season,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
Ajax,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
European,NORP,https://en.wikipedia.org/wiki/FC_Barcelona
Barcelona,GPE,https://en.wikipedia.org/wiki/FC_Barcelona
Francisco Franco,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Jordi,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Catalan Saint,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Juan Manuel Asensi,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Carles Rexach,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
Hugo Sotil,PERSON,https://en.wikipedia.org/wiki/FC_Barcelona
the 1973–74 season,DATE,https://en.wikipedia.org/wiki/FC_Barcelona
