Private Entity,External URI,Confidence
http://example.org/RioFerdinand,http://www.wikidata.org/entity/Q483417,1.0
http://example.org/Camberwell,http://www.wikidata.org/entity/Q385060,1.0
http://example.org/TomaszKuszczak,http://www.wikidata.org/entity/Q484766,1.0
http://example.org/Poland,http://www.wikidata.org/entity/Q36,1.0
http://example.org/KrosnoOdrzaskie,http://www.wikidata.org/entity/Q148947,1.0
http://example.org/Anderson,http://www.wikidata.org/entity/Q484772,1.0
http://example.org/PortoAlegre,http://www.wikidata.org/entity/Q40269,1.0
http://example.org/LouisSaha,http://www.wikidata.org/entity/Q484968,1.0
http://example.org/13thArrondissementOfParis,http://www.wikidata.org/entity/Q175129,1.0
http://example.org/RaphalVarane,http://www.wikidata.org/entity/Q489039,1.0
http://example.org/Lille,http://www.wikidata.org/entity/Q648,1.0
http://example.org/MichaelGray,http://www.wikidata.org/entity/Q497126,1.0
http://example.org/Sunderland,http://www.wikidata.org/entity/Q188304,1.0
http://example.org/MarcosRojo,http://www.wikidata.org/entity/Q507890,1.0
http://example.org/Argentina,http://www.wikidata.org/entity/Q414,1.0
http://example.org/LaPlata,http://www.wikidata.org/entity/Q44059,1.0
http://example.org/ZekiFryers,http://www.wikidata.org/entity/Q511997,1.0
http://example.org/DarrenFerguson,http://www.wikidata.org/entity/Q513167,1.0
http://example.org/MarkHoward,http://www.wikidata.org/entity/Q514099,1.0
http://example.org/SammyMcilroy,http://www.wikidata.org/entity/Q552248,1.0
http://example.org/FredErentz,http://www.wikidata.org/entity/Q558319,1.0
http://example.org/BroughtyFerry,http://www.wikidata.org/entity/Q459773,1.0
http://example.org/BrianKidd,http://www.wikidata.org/entity/Q562532,1.0
http://example.org/DavidPegg,http://www.wikidata.org/entity/Q572919,1.0
http://example.org/Highfields,http://www.wikidata.org/entity/Q11709778,1.0
http://example.org/DavidMay,http://www.wikidata.org/entity/Q574121,1.0
http://example.org/HarryMoger,http://www.wikidata.org/entity/Q574892,1.0
http://example.org/Southampton,http://www.wikidata.org/entity/Q79848,1.0
http://example.org/FredKennedy,http://www.wikidata.org/entity/Q580005,1.0
http://example.org/HarryCatterick,http://www.wikidata.org/entity/Q583712,1.0
http://example.org/Darlington,http://www.wikidata.org/entity/Q213181,1.0
http://example.org/JayjayOkocha,http://www.wikidata.org/entity/Q605817,1.0
http://example.org/AttackingMidfielder,http://www.wikidata.org/entity/Q90326494,1.0
http://example.org/Nigeria,http://www.wikidata.org/entity/Q1033,1.0
http://example.org/Enugu,http://www.wikidata.org/entity/Q465022,1.0
http://example.org/RegAllen,http://www.wikidata.org/entity/Q616277,1.0
http://example.org/Casemiro,http://www.wikidata.org/entity/Q616664,1.0
http://example.org/SoJosDosCampos,http://www.wikidata.org/entity/Q191642,1.0
http://example.org/SamHewson,http://www.wikidata.org/entity/Q616705,1.0
